"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
Census Regions,New England,2015,40,693,2,3,0.721501,0.2886,0.4329
Census Regions,Mid-Atlantic,2015,40,1584,5,1,0.378788,0.315657,0.0631313
Census Regions,East North Central,2015,40,1918,13,3,0.834202,0.677789,0.156413
Census Regions,West North Central,2015,40,978,3,1,0.408998,0.306748,0.102249
Census Regions,South Atlantic,2015,40,2403,20,12,1.33167,0.832293,0.499376
Census Regions,East South Central,2015,40,615,4,4,1.30081,0.650407,0.650407
Census Regions,West South Central,2015,40,1592,8,16,1.50754,0.502513,1.00503
Census Regions,Mountain,2015,40,943,1,1,0.212089,0.106045,0.106045
Census Regions,Pacific,2015,40,1303,28,2,2.30238,2.14889,0.153492
Census Regions,New England,2015,41,752,11,4,1.99468,1.46277,0.531915
Census Regions,Mid-Atlantic,2015,41,1830,5,3,0.437158,0.273224,0.163934
Census Regions,East North Central,2015,41,2114,13,6,0.89877,0.614948,0.283822
Census Regions,West North Central,2015,41,1046,7,5,1.14723,0.669216,0.478011
Census Regions,South Atlantic,2015,41,2728,34,14,1.75953,1.24633,0.513196
Census Regions,East South Central,2015,41,665,5,3,1.20301,0.75188,0.451128
Census Regions,West South Central,2015,41,1734,10,16,1.49942,0.576701,0.922722
Census Regions,Mountain,2015,41,1040,3,0,0.288462,0.288462,0
Census Regions,Pacific,2015,41,1202,28,3,2.57903,2.32945,0.249584
Census Regions,New England,2015,42,708,4,3,0.988701,0.564972,0.423729
Census Regions,Mid-Atlantic,2015,42,1836,4,3,0.381264,0.217865,0.163399
Census Regions,East North Central,2015,42,2222,4,7,0.49505,0.180018,0.315032
Census Regions,West North Central,2015,42,1137,7,1,0.703606,0.615655,0.0879507
Census Regions,South Atlantic,2015,42,2807,55,19,2.63627,1.95939,0.676879
Census Regions,East South Central,2015,42,746,8,2,1.34048,1.07239,0.268097
Census Regions,West South Central,2015,42,1702,6,15,1.23384,0.352526,0.881316
Census Regions,Mountain,2015,42,1056,2,2,0.378788,0.189394,0.189394
Census Regions,Pacific,2015,42,1227,7,0,0.570497,0.570497,0
Census Regions,New England,2015,43,716,1,1,0.27933,0.139665,0.139665
Census Regions,Mid-Atlantic,2015,43,1826,8,5,0.711939,0.438116,0.273823
Census Regions,East North Central,2015,43,2352,12,6,0.765306,0.510204,0.255102
Census Regions,West North Central,2015,43,1133,5,5,0.882613,0.441306,0.441306
Census Regions,South Atlantic,2015,43,2783,42,22,2.29968,1.50916,0.790514
Census Regions,East South Central,2015,43,725,5,5,1.37931,0.689655,0.689655
Census Regions,West South Central,2015,43,1566,19,5,1.53257,1.21328,0.319285
Census Regions,Mountain,2015,43,1084,2,1,0.276753,0.184502,0.0922509
Census Regions,Pacific,2015,43,1352,4,2,0.443787,0.295858,0.147929
Census Regions,New England,2015,44,781,0,1,0.128041,0,0.128041
Census Regions,Mid-Atlantic,2015,44,1856,8,3,0.592672,0.431034,0.161638
Census Regions,East North Central,2015,44,2331,13,9,0.943801,0.557701,0.3861
Census Regions,West North Central,2015,44,1211,2,5,0.578035,0.165153,0.412882
Census Regions,South Atlantic,2015,44,3112,42,27,2.21722,1.34961,0.867609
Census Regions,East South Central,2015,44,914,3,11,1.53173,0.328228,1.2035
Census Regions,West South Central,2015,44,1756,14,7,1.1959,0.797267,0.398633
Census Regions,Mountain,2015,44,1266,4,2,0.473934,0.315956,0.157978
Census Regions,Pacific,2015,44,1460,11,3,0.958904,0.753425,0.205479
Census Regions,New England,2015,45,682,2,1,0.439883,0.293255,0.146628
Census Regions,Mid-Atlantic,2015,45,1906,8,2,0.524659,0.419727,0.104932
Census Regions,East North Central,2015,45,2366,23,3,1.0989,0.972105,0.126796
Census Regions,West North Central,2015,45,1119,1,0,0.0893655,0.0893655,0
Census Regions,South Atlantic,2015,45,3300,50,49,3,1.51515,1.48485
Census Regions,East South Central,2015,45,841,8,10,2.14031,0.951249,1.18906
Census Regions,West South Central,2015,45,2004,20,15,1.74651,0.998004,0.748503
Census Regions,Mountain,2015,45,1337,3,0,0.224383,0.224383,0
Census Regions,Pacific,2015,45,1493,7,6,0.87073,0.468855,0.401875
Census Regions,New England,2015,46,779,1,1,0.256739,0.12837,0.12837
Census Regions,Mid-Atlantic,2015,46,2018,5,6,0.545094,0.24777,0.297324
Census Regions,East North Central,2015,46,2459,15,8,0.93534,0.610004,0.325336
Census Regions,West North Central,2015,46,1085,2,4,0.552995,0.184332,0.368664
Census Regions,South Atlantic,2015,46,3121,32,53,2.72349,1.02531,1.69817
Census Regions,East South Central,2015,46,1005,5,6,1.09453,0.497512,0.597015
Census Regions,West South Central,2015,46,1851,20,17,1.99892,1.0805,0.918422
Census Regions,Mountain,2015,46,1313,0,0,0,0,0
Census Regions,Pacific,2015,46,1619,4,3,0.432366,0.247066,0.1853
Census Regions,New England,2015,47,788,2,1,0.380711,0.253807,0.126904
Census Regions,Mid-Atlantic,2015,47,1825,11,5,0.876712,0.60274,0.273973
Census Regions,East North Central,2015,47,2263,9,5,0.618648,0.397702,0.220946
Census Regions,West North Central,2015,47,1002,1,1,0.199601,0.0998004,0.0998004
Census Regions,South Atlantic,2015,47,3361,74,55,3.83814,2.20173,1.63642
Census Regions,East South Central,2015,47,954,2,11,1.36268,0.209644,1.15304
Census Regions,West South Central,2015,47,2176,12,11,1.05699,0.551471,0.505515
Census Regions,Mountain,2015,47,1398,4,1,0.357654,0.286123,0.0715308
Census Regions,Pacific,2015,47,1467,4,2,0.408998,0.272665,0.136333
Census Regions,New England,2015,48,780,2,1,0.384615,0.25641,0.128205
Census Regions,Mid-Atlantic,2015,48,2149,19,4,1.07027,0.884132,0.186133
Census Regions,East North Central,2015,48,2574,15,4,0.738151,0.582751,0.1554
Census Regions,West North Central,2015,48,1197,5,1,0.501253,0.417711,0.0835422
Census Regions,South Atlantic,2015,48,2944,53,35,2.98913,1.80027,1.18886
Census Regions,East South Central,2015,48,1042,13,14,2.59117,1.2476,1.34357
Census Regions,West South Central,2015,48,2230,12,10,0.986547,0.538117,0.44843
Census Regions,Mountain,2015,48,1530,10,3,0.849673,0.653595,0.196078
Census Regions,Pacific,2015,48,1755,16,9,1.4245,0.911681,0.512821
Census Regions,New England,2015,49,821,2,5,0.852619,0.243605,0.609013
Census Regions,Mid-Atlantic,2015,49,2252,16,4,0.888099,0.71048,0.17762
Census Regions,East North Central,2015,49,2676,14,6,0.747384,0.523169,0.224215
Census Regions,West North Central,2015,49,1170,7,3,0.854701,0.598291,0.25641
Census Regions,South Atlantic,2015,49,3306,59,50,3.29704,1.78463,1.5124
Census Regions,East South Central,2015,49,1022,7,13,1.95695,0.684932,1.27202
Census Regions,West South Central,2015,49,2219,14,12,1.1717,0.630915,0.540784
Census Regions,Mountain,2015,49,1503,10,7,1.13107,0.665336,0.465735
Census Regions,Pacific,2015,49,1704,11,6,0.997653,0.64554,0.352113
Census Regions,New England,2015,50,842,1,2,0.356295,0.118765,0.23753
Census Regions,Mid-Atlantic,2015,50,2402,13,6,0.791007,0.541216,0.249792
Census Regions,East North Central,2015,50,2642,14,4,0.681302,0.529902,0.1514
Census Regions,West North Central,2015,50,1210,10,3,1.07438,0.826446,0.247934
Census Regions,South Atlantic,2015,50,3816,157,116,7.15409,4.11426,3.03983
Census Regions,East South Central,2015,50,970,6,15,2.16495,0.618557,1.54639
Census Regions,West South Central,2015,50,2320,11,15,1.12069,0.474138,0.646552
Census Regions,Mountain,2015,50,1495,8,15,1.53846,0.535117,1.00334
Census Regions,Pacific,2015,50,1661,24,16,2.40819,1.44491,0.963275
Census Regions,New England,2015,51,886,9,2,1.24153,1.0158,0.225734
Census Regions,Mid-Atlantic,2015,51,2263,11,6,0.751215,0.48608,0.265135
